,Date,Country,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths
0,2023-01-09T16:13:58.875Z,Afghanistan,0,207766,0,7850
1,2023-01-09T16:13:58.875Z,Albania,29,333916,0,3596
2,2023-01-09T16:13:58.875Z,Algeria,4,271254,0,6881
3,2023-01-09T16:13:58.875Z,Andorra,0,47781,0,165
4,2023-01-09T16:13:58.875Z,Angola,0,105095,0,1930
5,2023-01-09T16:13:58.875Z,Antarctica,0,11,0,0
6,2023-01-09T16:13:58.875Z,Antigua and Barbuda,0,9106,0,146
7,2023-01-09T16:13:58.875Z,Argentina,0,9963697,0,130171
8,2023-01-09T16:13:58.875Z,Armenia,0,445976,0,8716
9,2023-01-09T16:13:58.875Z,Australia,0,11205520,0,17304
10,2023-01-09T16:13:58.875Z,Austria,1641,5724215,2,21484
11,2023-01-09T16:13:58.875Z,Azerbaijan,120,826803,4,10017
12,2023-01-09T16:13:58.875Z,Bahamas,0,37491,0,833
13,2023-01-09T16:13:58.875Z,Bahrain,43,699137,0,1539
14,2023-01-09T16:13:58.875Z,Bangladesh,10,2037250,0,29440
15,2023-01-09T16:13:58.875Z,Barbados,0,105515,0,568
16,2023-01-09T16:13:58.875Z,Belarus,0,994037,0,7118
17,2023-01-09T16:13:58.875Z,Belgium,0,4682234,0,33395
18,2023-01-09T16:13:58.875Z,Belize,0,70174,0,688
19,2023-01-09T16:13:58.875Z,Benin,0,27982,0,163
20,2023-01-09T16:13:58.875Z,Bhutan,0,62538,0,21
21,2023-01-09T16:13:58.875Z,Bolivia,0,1168711,0,22315
22,2023-01-09T16:13:58.875Z,Bosnia and Herzegovina,0,401083,0,16234
23,2023-01-09T16:13:58.875Z,Botswana,0,328071,0,2794
24,2023-01-09T16:13:58.875Z,Brazil,0,36477214,0,694779
25,2023-01-09T16:13:58.875Z,Brunei Darussalam,0,270199,0,225
26,2023-01-09T16:13:58.875Z,Bulgaria,74,1293216,0,38122
27,2023-01-09T16:13:58.875Z,Burkina Faso,0,22006,0,395
28,2023-01-09T16:13:58.875Z,Burundi,0,52162,0,38
29,2023-01-09T16:13:58.875Z,Cambodia,5,138622,0,3056
30,2023-01-09T16:13:58.875Z,Cameroon,0,123993,0,1965
31,2023-01-09T16:13:58.875Z,Canada,752,3899957,17,44126
32,2023-01-09T16:13:58.875Z,Cape Verde,0,63207,0,412
33,2023-01-09T16:13:58.875Z,Central African Republic,0,15351,0,113
34,2023-01-09T16:13:58.875Z,Chad,0,7651,0,194
35,2023-01-09T16:13:58.875Z,Chile,4419,5062734,30,63330
36,2023-01-09T16:13:58.875Z,China,15850,3145501,72,17531
37,2023-01-09T16:13:58.875Z,Colombia,0,6343020,0,141959
38,2023-01-09T16:13:58.875Z,Comoros,0,8983,0,161
39,2023-01-09T16:13:58.875Z,Congo (Brazzaville),0,25375,0,386
40,2023-01-09T16:13:58.875Z,Congo (Kinshasa),0,95173,0,1462
41,2023-01-09T16:13:58.875Z,Costa Rica,0,1171802,0,9104
42,2023-01-09T16:13:58.875Z,Croatia,46,1265333,9,17669
